ccode1,abbrev1,ccode2,abbrev2,dipcon1970,dipcon1975,dipcon1980,dipcon1985,dipcon1990,dipcon1995,dipcon2000,dipcon2005,dipcon2010
2,USA,20,CAN,1,1,1,1,1,1,1,1,1
2,USA,31,BHM,,0,1,1,1,1,1,1,1
2,USA,40,CUB,0,0,0,0,0,0,0,1,1
2,USA,41,HAI,0,1,1,1,1,0,0,1,1
2,USA,42,DOM,1,1,1,1,1,1,1,1,1
2,USA,51,JAM,1,1,1,1,1,1,1,1,1
2,USA,52,TRI,1,1,1,1,1,1,1,1,1
2,USA,53,BAR,1,1,1,1,1,0,0,1,1
2,USA,54,DMA,,,0,0,0,0,0,0,0
2,USA,55,GRN,,0,0,1,1,0,0,1,0
2,USA,56,SLU,,,0,0,0,0,0,0,0
2,USA,57,SVG,,,0,0,0,0,0,0,0
2,USA,58,AAB,,,,0,0,0,0,0,0
2,USA,60,SKN,,,,0,0,0,0,0,0
2,USA,70,MEX,1,1,1,1,1,1,1,1,1
2,USA,80,BLZ,,,,1,1,1,1,1,1
2,USA,90,GUA,1,1,1,1,1,1,1,1,1
2,USA,91,HON,1,1,1,0,1,1,1,1,1
2,USA,92,SAL,0,1,1,1,1,1,1,1,0
2,USA,93,NIC,1,1,1,1,0,1,1,0,1
2,USA,94,COS,1,1,1,1,1,1,1,1,1
2,USA,95,PAN,1,1,1,1,1,1,1,1,1
2,USA,100,COL,1,1,1,0,1,1,1,1,1
2,USA,101,VEN,1,1,1,1,0,1,1,1,0
2,USA,110,GUY,1,1,1,1,1,1,1,1,0
2,USA,115,SUR,,,1,1,1,1,1,1,1
2,USA,130,ECU,0,1,1,1,1,1,1,1,1
2,USA,135,PER,1,1,1,1,0,1,1,1,1
2,USA,140,BRA,1,1,1,1,1,1,1,1,1
2,USA,145,BOL,1,1,1,1,1,1,1,1,0
2,USA,150,PAR,0,1,1,1,1,0,0,1,1
2,USA,155,CHL,1,1,1,1,1,1,1,1,1
2,USA,160,ARG,1,1,1,1,1,1,1,1,1
